"HolderAddress","Balance","PendingBalanceUpdate"
"0x1e6ee413de02503b60e775b2453eac432f03e0ab","10","No"
"0x1f691804f0bb41f4243516273f0c9cd7a3bb3ce9","17994","No"
"0x29ca6851fdc56f4c8471afe5317fcd5a5b8eb6aa","1000000","No"
"0x29f9d3710d2bf9635aa4b2b59dc50d4f356d286f","30","No"
"0x41c968a1eba2572d21b298fe6ff7660aaed2dcd8","99998","No"
"0x4484c7d77d8b3261924bfed254a12149dfd9542f","9998","No"
"0x542e296cb07834690dc06b10ecc0f8f3c2937dca","12750","No"
"0x58854ce21346d5a31a1e8a0efbfa6a8b88d05b78","25600","No"
"0x73b06978e103a5add97c12a34d3263e46bce8890","1000000","No"
"0x77a1e7334be0d3fd987127f77f1b81d224a5d390","10","No"
"0x8c0759ed32cc400b3e2c5984e9ba8567d05d6cb4","1000000","No"
"0x8f73ab1f69d77b49b9bfc293e62c3f8f08e8214c","7000.79","No"
"0x919b217988a8675a5d9abac39942bf3f54c1a449","1000000","No"
"0x925d1418c6144ce6052a325abdb11360abff5b61","32","No"
"0x9ad06095db8c7d58181bc351006bd8d8f968107c","1000000","No"
"0x9b5044ad41f602b6c6960f814d804cf59f354bbc","74494","No"
"0xa6ab54801753ffa8f980207b56216cdc9244412c","12750","No"
"0xab198d3fdb3d9168911e8b62bbc804f4eb152f24","1001998","No"
"0xad6aa63e8bd0ce3797b48cf338843e3fd4e9a99c","3963350","No"
"0xbc9dc6280fba09f7ad5ff4de3725a64f2f842963","10","No"
"0xc4dd7b0123b85a47745fed3cf9ecc40543c3ace5","49988990000","No"
"0xce49ce6dfe3a1b72cb48136c1b75419376ab6736","1996","No"
"0xe91cbac84a4304b1e2f701ef89f95aa5bd6e75de","781980","No"
